V1	V2	V3	V4	V5	V6
-6.56401315417422	-6.15578018969348	-9.79119884377367	-9.50560260009683	-2.7171508537469	-2.96666446061795
-6.07687050228296	-5.72873123423803	-9.89737770028421	-9.57231708325833	-5.2963338770856	-5.63612753967216
-8.2370600301949	-7.78637844846515	-5.12153929697292	-4.86144559649165	-2.971477420525	-3.25898268080949
-7.68572165063616	-7.51055879177599	-6.24136156617291	-5.88169499930777	-3.05965760963414	-3.52616865079309
-7.28546871595134	-7.02913622072892	-8.99647540266882	-8.62526614279414	-4.59160313919583	-5.05762238362336
-7.38590682106575	-7.00384371572065	-5.69013392263296	-5.41544885917518	-3.60634230630162	-3.85524782021438
-6.27654484496434	-5.87536059847675	-4.62734544412206	-4.33083600460461	-2.44617348165316	-2.73022229022511
-7.06018050127977	-6.64542069368775	-6.66008685853272	-6.3027870563376	-4.24881907354776	-4.64463391025856
-6.29582749206346	-5.93421177287457	-6.50992078362691	-6.19621492194522	-3.25079469459384	-3.54436681647914
-7.00163578464812	-6.69864078417355	-5.80444377197588	-5.42318959589786	-3.01889786004638	-3.54385747411221
-7.60575166224412	-7.28686925449968	-2.39557638754018	-2.05081560630245	-3.15386715928194	-3.52881528152833
-6.80579886991429	-6.46623174684726	-6.52705288382285	-6.17676697065043	-3.88982707967785	-4.34940083566339
-6.60857218128698	-6.25820840838412	-5.63127705594732	-5.36611773626738	-2.74263798709767	-2.98878854739347
-7.14874620050127	-6.69004274351847	-5.8979508598629	-5.60246434240096	-4.34780067071796	-4.73385615691738
-6.063379336253	-5.75055664654205	-6.53050738183781	-6.19084091060605	-4.05989486608954	-4.39660289376297
-7.11607005651386	-6.77193660861803	-6.74748983955206	-6.43816747966805	-4.14026822926568	-4.51368672842314
-7.73247170084369	-7.34451209522642	-4.36423673446377	-4.05851380416622	-1.21001941170089	-1.47886196732053
-6.3031948627954	-6.03932887863526	-9.5003012354766	-9.17161461468491	-2.20932902699259	-2.55873865193155
-7.61120823283106	-7.19298574449474	-3.18075679347566	-2.93777504168943	-2.85829330306494	-3.08602196514382
-7.37942321080717	-7.00472030204456	-5.93774101653297	-5.63736304313475	-3.72110151939474	-4.04534700305556
-7.82394617636814	-7.57041781344402	-5.69345828171533	-5.39146073729364	-4.50641628823987	-4.87506894548265
-5.79943633593079	-5.35397007430731	-5.09509390902099	-4.84292162405902	-4.10022113108488	-4.25244834112746
-8.12594870352595	-7.75050839013531	-6.67794074411347	-6.39578367881618	-3.5185000313665	-3.84931376602382
-8.53297842133334	-8.27077177833402	-7.68886588394318	-7.29878108964638	-3.48915432919091	-3.97267677937261
-7.06606916084913	-6.78795548062717	-7.42255646729124	-7.06239790419312	-4.6417368035084	-5.03926398923706
-6.25176263456701	-5.87088826284887	-4.87648293864212	-4.54562907174139	-2.474019735281	-2.80623018340542
-8.00471553215705	-7.63018334088518	-4.66712143975317	-4.30633610953859	-4.14375196094819	-4.60002719444113
-7.40195012450657	-7.16328014271271	-3.75148924236507	-3.41315886365343	-3.15893270369352	-3.59247215550003
-7.33828487027337	-7.02281753044859	-5.30607514107976	-5.02129550135672	-2.07409748103256	-2.32941883213017
-7.16662834637218	-6.81494372650967	-5.24176754818741	-4.93205160170437	-4.55537740295439	-4.94534833570875
-6.32974491695213	-5.93716396349214	-6.61657548739407	-6.33027871937974	-1.04140517629383	-1.29094775205682
-7.73493574165011	-7.31371159673274	-8.04852190234839	-7.75406615251248	-5.59186125409988	-5.88806046074231
-6.33861145376597	-5.98755574253936	-7.24367416231374	-6.90433326862142	-2.90338549085432	-3.35456130749782
-6.30213912918087	-5.95983684769814	-3.32034181409044	-3.0106817148921	-3.75508241767439	-4.03877486504987
-7.35964610511112	-6.98428476675253	-4.28951531903738	-3.96737129425606	-3.25510786616126	-3.61771987705312
-6.26651610884218	-5.99928639860716	-4.79678699416942	-4.46044286992034	-3.10642714241611	-3.47618155559652
-7.89990788148084	-7.58572199933074	-7.38363845101397	-7.00951756297211	-4.61388608908587	-5.07872404705799
-6.39111840460883	-6.01036725820633	-5.46558515722392	-5.11140785598992	-3.83998319260147	-4.20126573840766
-7.5846361615381	-7.26549892588311	-10.0349075749624	-9.68973273905111	-4.88425644318421	-5.28421685106852
-6.00709002058582	-5.71301829517443	-4.23351548840059	-3.87524170853216	-2.41065350322607	-2.83100845909502
-6.23779749471385	-5.74576858357876	-4.85862069568886	-4.58710202095777	-3.3519901536591	-3.60190698798384
-7.42506915061074	-7.1124762350077	-4.1243460968381	-3.78839521457058	-2.15448415728896	-2.5570031500455
-6.96376510056794	-6.64645606807218	-5.1727173018906	-4.82067238433195	-3.91909958004742	-4.30240867006111
-6.80101648097357	-6.44928438761113	-10.3249156481381	-9.99622451153384	-4.00211626987274	-4.34585886021018
-7.75960297796666	-7.43676081239161	-10.2634074879023	-9.91582917509321	-5.26554937449212	-5.64774352779036
-7.0209091715177	-6.674098313296	-5.49678316546084	-5.21141410048246	-2.96270854035345	-3.29880295443036
-6.68306900733355	-6.30926132489188	-7.5807822899058	-7.2388948287351	-3.29943130552663	-3.67094379556496
-6.58760148524141	-6.28738851216609	-7.74614087844484	-7.42321735530825	-4.44274175904205	-4.7711158682379
-7.66630082056346	-7.32242472997515	-6.55999799792655	-6.25541388801129	-2.92771275080414	-3.2630390003274
-7.68286493808631	-7.31351224283067	-6.2994797903222	-6.06376799851618	-3.48065428588952	-3.69012586266668
-5.96768628421326	-5.55232930260503	-7.04633905524076	-6.75628821312796	-4.34402169418933	-4.68243423968115
-6.90600870090225	-6.63255712285491	-5.80925439597488	-5.44558971320044	-3.0635164532666	-3.5302717633333
-6.1200761746018	-5.85460413846003	-4.1937225890834	-3.84284674872839	-3.76233256039236	-4.13061811717112
-8.9890064235592	-8.67077708702328	-8.49548602526193	-8.12312176659724	-5.08810518404791	-5.53333145434965
-6.95849030047815	-6.65311812254347	-4.98753282853506	-4.67632984816507	-3.51682992499681	-3.84103483210239
-6.32767252654828	-5.89554665562771	-5.64705207729782	-5.29666331057431	-3.13322830267551	-3.47384568669962
-7.27369167721476	-6.95742924750868	-10.6706497457399	-10.338222193802	-5.14968002532107	-5.55170454775556
-7.42997274930549	-7.09808927413908	-4.7289065752371	-4.42092964894526	-0.670841689658082	-0.976061261120717
-7.93853374098887	-7.48333597569772	-7.02739961546867	-6.70762693775237	-2.27641350246564	-2.60941011531936
-7.12292299666536	-6.74861335199305	-3.57846227330162	-3.24655756207437	-2.4237436723899	-2.78997441004868
-6.98999123279923	-6.63183211772843	-4.76025077494871	-4.46293600737543	-3.51954060387823	-3.88187905737153
-5.77616586266477	-5.40938295974291	-7.0805494271338	-6.73392823389579	-4.19483946836699	-4.50395278172261
-6.52935917569546	-6.14951683059936	-5.19463631464029	-4.90472498991616	-2.81177936697308	-3.13869900405994
-7.8429396444688	-7.47978330594966	-11.6566878798878	-11.3334521624772	-5.63081565242642	-5.99703163410364
-7.28381209132983	-6.9026661589514	-4.34177042217417	-4.06711750722459	-3.14310950099537	-3.43009167393117
-7.08025492677665	-6.61227294658728	-6.41412611030706	-6.15789100596242	-3.81852383539104	-4.09094882555525
-8.15072087404813	-7.70700112286124	-7.8995163121928	-7.59481763711128	-3.92465009578261	-4.26746275075301
-6.51582757196764	-6.16799835254223	-5.58100095191372	-5.23159955382884	-3.37204274426835	-3.77987402171431
